"ruleId","ruleType","fieldId","ruleLabel","noticeSubtype","conditionEfx","conditionLabel","expressionEfx","expressionLabel","codelistId","patternId","context","target","severity","cvsStage"
"BR-BT-00001-0001","mandatory","BT-01-notice","'Legal basis of the procedure' (BT-01-notice) is mandatory in notice type 'X01 – European Economic Interest Grouping'","X01","NULL","NULL","NULL","NULL","NULL","NULL","ND-Root","all","ERROR","2"
"BR-BT-00001-0002","mandatory","BT-01-notice","'Legal basis of the procedure' (BT-01-notice) is mandatory in notice type 'X02 – European Company / European Cooperative Society'","X02","NULL","NULL","NULL","NULL","NULL","NULL","ND-Root","all","ERROR","2"
"BR-BT-00001-0004","mandatory","BT-01-notice","'Legal basis of the procedure' (BT-01-notice) is mandatory in notice type '1 – Notice of the publication of a prior information notice on a buyer profile – general directive'","1","NULL","NULL","NULL","NULL","NULL","NULL","ND-Root","all","ERROR","2"
"BR-BT-00001-0005","mandatory","BT-01-notice","'Legal basis of the procedure' (BT-01-notice) is mandatory in notice type '2 – Notice of the publication of a periodic indicative notice on a buyer profile – sectoral directive'","2","NULL","NULL","NULL","NULL","NULL","NULL","ND-Root","all","ERROR","2"
"BR-BT-00001-0006","mandatory","BT-01-notice","'Legal basis of the procedure' (BT-01-notice) is mandatory in notice type '3 – Notice of the publication of a prior information notice on a buyer profile – defence directive'","3","NULL","NULL","NULL","NULL","NULL","NULL","ND-Root","all","ERROR","2"
"BR-BT-00001-0007","mandatory","BT-01-notice","'Legal basis of the procedure' (BT-01-notice) is mandatory in notice type '4 – Prior information notice used only for information – general directive'","4","NULL","NULL","NULL","NULL","NULL","NULL","ND-Root","all","ERROR","2"
"BR-BT-00001-0008","mandatory","BT-01-notice","'Legal basis of the procedure' (BT-01-notice) is mandatory in notice type '5 – Periodic indicative notice used only for information – sectoral directive'","5","NULL","NULL","NULL","NULL","NULL","NULL","ND-Root","all","ERROR","2"
"BR-BT-00001-0009","mandatory","BT-01-notice","'Legal basis of the procedure' (BT-01-notice) is mandatory in notice type '6 – Prior information notice used only for information – defence directive'","6","NULL","NULL","NULL","NULL","NULL","NULL","ND-Root","all","ERROR","2"
"BR-BT-00001-0011","mandatory","BT-01-notice","'Legal basis of the procedure' (BT-01-notice) is mandatory in notice type 'T01 – Prior information notice for public service contract'","T01","NULL","NULL","NULL","NULL","NULL","NULL","ND-Root","all","ERROR","2"
"BR-BT-00001-0012","mandatory","BT-01-notice","'Legal basis of the procedure' (BT-01-notice) is mandatory in notice type '7 – Prior information notice used to shorten time limits for receipt of tenders – general directive'","7","NULL","NULL","NULL","NULL","NULL","NULL","ND-Root","all","ERROR","2"
"BR-BT-00001-0013","mandatory","BT-01-notice","'Legal basis of the procedure' (BT-01-notice) is mandatory in notice type '8 – Periodic indicative notice used to shorten time limits for receipt of tenders – sectoral directive'","8","NULL","NULL","NULL","NULL","NULL","NULL","ND-Root","all","ERROR","2"
"BR-BT-00001-0014","mandatory","BT-01-notice","'Legal basis of the procedure' (BT-01-notice) is mandatory in notice type '9 – Prior information notice used to shorten time limits for receipt of tenders – defence directive'","9","NULL","NULL","NULL","NULL","NULL","NULL","ND-Root","all","ERROR","2"
"BR-BT-00001-0015","mandatory","BT-01-notice","'Legal basis of the procedure' (BT-01-notice) is mandatory in notice type '10 – Prior information notice used as a call for competition – general directive, standard regime'","10","NULL","NULL","NULL","NULL","NULL","NULL","ND-Root","all","ERROR","2"
"BR-BT-00001-0016","mandatory","BT-01-notice","'Legal basis of the procedure' (BT-01-notice) is mandatory in notice type '11 – Periodic indicative notice used as a call for competition – sectoral directive, standard regime'","11","NULL","NULL","NULL","NULL","NULL","NULL","ND-Root","all","ERROR","2"
"BR-BT-00001-0017","mandatory","BT-01-notice","'Legal basis of the procedure' (BT-01-notice) is mandatory in notice type 'CEI – Call for expressions of interest'","CEI","NULL","NULL","NULL","NULL","NULL","NULL","ND-Root","all","ERROR","2"
"BR-BT-00001-0018","mandatory","BT-01-notice","'Legal basis of the procedure' (BT-01-notice) is mandatory in notice type '12 – Prior information notice used as a call for competition – general directive, light regime'","12","NULL","NULL","NULL","NULL","NULL","NULL","ND-Root","all","ERROR","2"
"BR-BT-00001-0019","mandatory","BT-01-notice","'Legal basis of the procedure' (BT-01-notice) is mandatory in notice type '13 – Periodic indicative notice used as a call for competition – sectoral directive, light regime'","13","NULL","NULL","NULL","NULL","NULL","NULL","ND-Root","all","ERROR","2"
"BR-BT-00001-0020","mandatory","BT-01-notice","'Legal basis of the procedure' (BT-01-notice) is mandatory in notice type '14 – Prior information notice used as a call for competition – concessions directive, light regime'","14","NULL","NULL","NULL","NULL","NULL","NULL","ND-Root","all","ERROR","2"
"BR-BT-00001-0021","mandatory","BT-01-notice","'Legal basis of the procedure' (BT-01-notice) is mandatory in notice type '15 – Notice on the existence of a qualification system – sectoral directive'","15","NULL","NULL","NULL","NULL","NULL","NULL","ND-Root","all","ERROR","2"
"BR-BT-00001-0022","mandatory","BT-01-notice","'Legal basis of the procedure' (BT-01-notice) is mandatory in notice type '16 – Contract notice – general directive, standard regime'","16","NULL","NULL","NULL","NULL","NULL","NULL","ND-Root","all","ERROR","2"
