"ruleId","type","fieldId","description","noticeId (null means all)","condition","expression","target","severity"
"BR-BT-00001-0052","forbidden","BT-01(c)-Procedure","The BT-01 Procedure Legal Basis (ID) is not allowed at Procedure level for a notice of type .","X01","Always","NULL","all","ERROR"
"BR-BT-00001-0053","forbidden","BT-01(c)-Procedure","The BT-01 Procedure Legal Basis (ID) is not allowed at Procedure level for a notice of type .","X02","Always","NULL","all","ERROR"
"BR-BT-00001-0054","forbidden","BT-01(e)-Procedure","The BT-01 Procedure Legal Basis (No ID) is not allowed at Procedure level for a notice of type .","X01","Always","NULL","all","ERROR"
"BR-BT-00001-0055","forbidden","BT-01(e)-Procedure","The BT-01 Procedure Legal Basis (No ID) is not allowed at Procedure level for a notice of type .","X02","Always","NULL","all","ERROR"
"BR-BT-00001-0103","forbidden","BT-01(d)-Procedure","The BT-01 Procedure Legal Basis (ID Description) is not allowed at Procedure level for a notice of type .","X01","Always","NULL","all","ERROR"
"BR-BT-00001-0104","forbidden","BT-01(d)-Procedure","The BT-01 Procedure Legal Basis (ID Description) is not allowed at Procedure level for a notice of type .","X02","Always","NULL","all","ERROR"
"BR-BT-00001-0105","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID Description) is not allowed at Procedure level for a notice of type .","X01","Always","NULL","all","ERROR"
"BR-BT-00001-0106","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID Description) is not allowed at Procedure level for a notice of type .","X02","Always","NULL","all","ERROR"
"BR-BT-00004-0001","forbidden","BT-04-notice","The BT-04 Procedure Identifier is not allowed at Notice level for a notice of type .","X01","Always","NULL","all","ERROR"
"BR-BT-00004-0002","forbidden","BT-04-notice","The BT-04 Procedure Identifier is not allowed at Notice level for a notice of type .","X02","Always","NULL","all","ERROR"
"BR-BT-00004-0004","forbidden","BT-04-notice","The BT-04 Procedure Identifier is not allowed at Notice level for a notice of type Notice of the publication of a prior information notice on a buyer profile - general directive.","1","Always","NULL","all","ERROR"
"BR-BT-00004-0005","forbidden","BT-04-notice","The BT-04 Procedure Identifier is not allowed at Notice level for a notice of type Notice of the publication of a periodic indicative notice on a buyer profile - sectoral directive.","2","Always","NULL","all","ERROR"
"BR-BT-00004-0006","forbidden","BT-04-notice","The BT-04 Procedure Identifier is not allowed at Notice level for a notice of type Notice of the publication of a prior information notice on a buyer profile - defence directive.","3","Always","NULL","all","ERROR"
